,tconst,title,release_year,adjusted_domestic_gross,director_gender,has_oscar_cast,propensity_score,adjusted_budget,star_power,num_production_countries,num_spoken_languages,num_production_companies,genre_stereotypes
172,tt1790885,zero dark thirty,2012,131.1,1,0,0.03974515126976236,54.8,515.7,1,2,3,1
173,tt1694020,the guilt trip,2012,50.8,1,1,0.08620293701125441,54.8,791.8,1,1,2,0
174,tt1545106,vamps,2012,0.0,1,0,0.043932857399434415,21.9,275.3,1,1,2,1
175,tt1598828,one for the money,2012,36.2,1,0,0.03960537166854558,54.8,283.2,1,1,2,1
176,tt1592873,lol,2012,0.1,1,0,0.07408156722483547,15.1,210.1,1,1,7,0
177,tt1817676,girl in progress,2012,3.6,1,0,0.09943116842542325,6.8,212.3,1,2,1,0
178,tt1211890,middle of nowhere,2012,0.3,1,0,0.09349062048013149,2.7,76.4,1,1,2,0
179,tt1920849,bachelorette,2012,0.6,1,0,0.09601294598710101,4.1,289.5,1,1,2,0
180,tt1371111,cloud atlas,2012,37.1,1,1,0.02849155926457602,139.7,535.2,2,1,5,1
181,tt1839492,ruby sparks,2012,3.5,1,0,0.04512257439907865,11.0,432.9,1,2,3,1
182,tt1217209,brave,2012,324.9,1,1,0.021161004165359237,253.3,563.8,1,1,2,1
183,tt2201548,a teacher,2013,0.0,1,0,0.0974670928131402,0.1,17.6,1,1,1,0
184,tt2294677,in a world,2013,4.0,1,0,0.09405374399418535,1.3,224.3,2,1,4,0
185,tt1758795,the to do list,2013,4.7,1,0,0.09504018192406388,2.0,468.1,1,1,3,0
186,tt2132285,the bling ring,2013,7.9,1,0,0.09047079592786593,20.2,328.5,4,1,7,0
187,tt1425922,black nativity,2013,9.5,1,1,0.08969336344869709,23.6,414.6,1,1,2,0
188,tt2034031,laggies,2014,0.6,1,0,0.09073652391114664,6.6,244.3,1,1,3,0
189,tt2318092,endless love,2014,31.1,1,0,0.08896175696936699,26.6,232.1,1,1,2,0
190,tt1247690,serena,2014,0.2,1,1,0.03943848783268597,39.8,424.9,1,1,3,1
191,tt2006295,the,2015,16.2,1,1,0.036140881526808236,33.2,336.2,4,2,10,1
192,tt3707106,by the sea,2015,0.7,1,1,0.09986866529473065,13.3,169.3,3,3,3,0
193,tt2361509,the intern,2015,100.5,1,1,0.0896901756646808,46.4,596.2,1,1,1,0
194,tt3172532,the diary of a teenage girl,2015,2.0,1,0,0.0916475939853256,2.7,148.7,1,2,3,0
195,tt2967224,hot pursuit,2015,45.9,1,1,0.03684748928320311,46.4,329.9,1,2,4,1
196,tt1617661,jupiter ascending,2015,63.0,1,1,0.020355999106406973,233.5,406.2,1,2,4,1
197,tt3387266,a united kingdom,2016,5.1,1,0,0.049101582046721846,18.3,458.6,4,1,5,1
198,tt4468634,certain women,2016,1.4,1,0,0.09627164984776877,2.6,276.9,1,1,2,0
199,tt3721936,american honey,2016,0.9,1,0,0.04240874213393934,4.6,112.7,2,1,5,1
200,tt1878870,the edge of seventeen,2016,18.9,1,0,0.08625529403181158,11.8,297.7,1,1,4,0
201,tt4341582,queen of katwe,2016,11.6,1,1,0.08991367670983354,19.6,348.2,1,1,2,0
202,tt4257926,miracles from heaven,2016,80.8,1,0,0.08222890354566736,21.0,455.4,1,1,5,0
203,tt2241351,money monster,2016,53.7,1,1,0.036677880066306935,35.4,446.9,1,1,5,1
204,tt5390504,detroit,2017,21.5,1,0,0.039884743455609266,43.6,388.6,1,1,3,1
205,tt5001718,everything everything,2017,43.8,1,0,0.09161539336036625,12.8,439.7,1,1,3,0
206,tt4622512,battle of the sexes,2017,16.2,1,1,0.08605336160568088,32.1,443.0,2,1,4,0
207,tt4030600,the bye bye man,2017,28.7,1,1,0.04225261067122925,9.5,243.7,1,1,3,1
208,tt4925292,lady bird,2017,62.8,1,0,0.090742414691655,12.8,373.8,1,1,3,0
209,tt4799050,rough night,2017,28.4,1,0,0.08530090700903935,25.7,510.9,1,1,4,0
210,tt5592248,the beguiled,2017,13.6,1,1,0.045415624269119596,13.5,423.3,1,2,2,1
211,tt1730768,the zookeepers wife,2017,22.4,1,0,0.04465220634833522,25.7,146.4,3,1,4,1
212,tt3127022,the bookshop,2017,2.0,1,0,0.11141913609455315,6.9,162.9,4,3,3,0
213,tt4827558,high life,2018,1.5,1,1,0.03817123984381337,11.2,159.4,5,1,11,1
214,tt4073790,the darkest minds,2018,15.9,1,0,0.042165671546270704,42.6,437.8,1,1,2,1
215,tt4669788,on the basis of sex,2018,30.9,1,1,0.08169113011940896,25.0,389.9,1,1,4,0
216,tt6257174,the miseducation of cameron post,2018,1.1,1,0,0.10323781794523763,1.1,281.2,2,1,2,0
217,tt6499752,upgrade,2018,15.0,1,0,0.042800474022143736,6.3,500.9,2,1,6,1
218,tt1620680,a wrinkle in time,2018,125.8,1,1,0.032006423786342435,129.0,634.5,1,1,2,1
219,tt2531344,blockers,2018,75.5,1,0,0.08768438874429743,26.3,397.8,3,1,6,0
220,tt6663582,the spy who dumped me,2018,42.0,1,0,0.043598455161912894,50.1,322.4,2,5,3,1
221,tt7137380,destroyer,2018,1.9,1,1,0.042513003637675094,11.3,321.3,1,1,3,1
222,tt6107548,late night,2019,19.1,1,1,0.07980804744192181,4.9,398.3,1,1,6,0
223,tt1489887,booksmart,2019,27.9,1,0,0.09755131302831335,7.4,301.9,1,3,2,0
224,tt3281548,little women,2019,132.9,1,0,0.08071371727694349,49.2,539.8,1,2,4,0
225,tt5941692,miss bala,2019,18.4,1,0,0.044397171285208946,18.4,114.1,2,1,3,1
226,tt3224458,a beautiful day in the neighborhood,2019,75.9,1,1,0.08973727017869843,30.7,408.6,2,1,3,0
227,tt5503686,hustlers,2019,129.1,1,0,0.08408684911630974,24.6,516.4,1,3,5,0
228,tt8266310,blinded by the light,2019,14.6,1,0,0.07752601875356151,18.4,136.5,2,1,7,0
229,tt7083526,breakthrough,2019,50.1,1,0,0.09220316706774702,17.2,282.6,1,1,2,0
