franchise,franchise_transform,franchise_url
Fantastic Beasts and Where to Find Them,Fantastic-Beasts-and-Where-to-Find-Them,https://www.the-numbers.com/movies/franchise/Fantastic-Beasts-and-Where-to-Find-Them#tab=summary
Predator,Predator,https://www.the-numbers.com/movies/franchise/Predator#tab=summary
Naked Gun,Naked-Gun,https://www.the-numbers.com/movies/franchise/Naked-Gun#tab=summary
Nutty Professor,Nutty-Professor,https://www.the-numbers.com/movies/franchise/Nutty-Professor#tab=summary
John Wick,John-Wick,https://www.the-numbers.com/movies/franchise/John-Wick#tab=summary
Alice in Wonderland,Alice-in-Wonderland,https://www.the-numbers.com/movies/franchise/Alice-in-Wonderland#tab=summary
Paranormal Activity,Paranormal-Activity,https://www.the-numbers.com/movies/franchise/Paranormal-Activity#tab=summary
My Big Fat Greek Wedding,My-Big-Fat-Greek-Wedding,https://www.the-numbers.com/movies/franchise/My-Big-Fat-Greek-Wedding#tab=summary
Sherlock Holmes,Sherlock-Holmes,https://www.the-numbers.com/movies/franchise/Sherlock-Holmes#tab=summary
Wonder Woman,Wonder-Woman,https://www.the-numbers.com/movies/franchise/Wonder-Woman#tab=summary
Gladiator,Gladiator,https://www.the-numbers.com/movies/franchise/Gladiator#tab=summary
Doctor Dolittle,Doctor-Dolittle,https://www.the-numbers.com/movies/franchise/Doctor-Dolittle#tab=summary
Omen The,Omen-The,https://www.the-numbers.com/movies/franchise/Omen-The#tab=summary
Amityville,Amityville,https://www.the-numbers.com/movies/franchise/Amityville#tab=summary
Fantastic Four,Fantastic-Four,https://www.the-numbers.com/movies/franchise/Fantastic-Four#tab=summary
Look Whos Talking,Look-Whos-Talking,https://www.the-numbers.com/movies/franchise/Look-Whos-Talking#tab=summary
Aquaman,Aquaman,https://www.the-numbers.com/movies/franchise/Aquaman#tab=summary
Sister Act,Sister-Act,https://www.the-numbers.com/movies/franchise/Sister-Act#tab=summary
Taken,Taken,https://www.the-numbers.com/movies/franchise/Taken#tab=summary
Honey I Shrunk the Kids,Honey-I-Shrunk-the-Kids,https://www.the-numbers.com/movies/franchise/Honey-I-Shrunk-the-Kids#tab=summary
Sing,Sing,https://www.the-numbers.com/movies/franchise/Sing#tab=summary
Mad Max,Mad-Max,https://www.the-numbers.com/movies/franchise/Mad-Max#tab=summary
Beetlejuice,Beetlejuice,https://www.the-numbers.com/movies/franchise/Beetlejuice#tab=summary
Wreck-It-Ralph,Wreck-It-Ralph,https://www.the-numbers.com/movies/franchise/Wreck-It-Ralph#tab=summary
Dune,Dune,https://www.the-numbers.com/movies/franchise/Dune#tab=summary
Dumb and Dumber,Dumb-and-Dumber,https://www.the-numbers.com/movies/franchise/Dumb-and-Dumber#tab=summary
Unbreakable,Unbreakable,https://www.the-numbers.com/movies/franchise/Unbreakable#tab=summary
Guns of Navarone,Guns-of-Navarone,https://www.the-numbers.com/movies/franchise/Guns-of-Navarone#tab=summary
Pokemon,Pokemon,https://www.the-numbers.com/movies/franchise/Pokemon#tab=summary
Wicked,Wicked,https://www.the-numbers.com/movies/franchise/Wicked#tab=summary
300,300,https://www.the-numbers.com/movies/franchise/300#tab=summary
48 Hrs.,48-Hrs.,https://www.the-numbers.com/movies/franchise/48-Hrs.#tab=summary
Fifty Shades of Grey,Fifty-Shades-of-Grey,https://www.the-numbers.com/movies/franchise/Fifty-Shades-of-Grey#tab=summary
Ace Ventura,Ace-Ventura,https://www.the-numbers.com/movies/franchise/Ace-Ventura#tab=summary
Beauty and the Beast,Beauty-and-the-Beast,https://www.the-numbers.com/movies/franchise/Beauty-and-the-Beast#tab=summary
Joker,Joker,https://www.the-numbers.com/movies/franchise/Joker#tab=summary
Maleficent,Maleficent,https://www.the-numbers.com/movies/franchise/Maleficent#tab=summary
Charlies Angels,Charlies-Angels,https://www.the-numbers.com/movies/franchise/Charlies-Angels#tab=summary
Pitch Perfect,Pitch-Perfect,https://www.the-numbers.com/movies/franchise/Pitch-Perfect#tab=summary
Divergent Series The,Divergent-Series-The,https://www.the-numbers.com/movies/franchise/Divergent-Series-The#tab=summary
Texas Chainsaw Massacre,Texas-Chainsaw-Massacre,https://www.the-numbers.com/movies/franchise/Texas-Chainsaw-Massacre#tab=summary
Romancing the Stone,Romancing-the-Stone,https://www.the-numbers.com/movies/franchise/Romancing-the-Stone#tab=summary
Waynes World,Waynes-World,https://www.the-numbers.com/movies/franchise/Waynes-World#tab=summary
21 Jump Street,21-Jump-Street,https://www.the-numbers.com/movies/franchise/21-Jump-Street#tab=summary
Lara Croft,Lara-Croft,https://www.the-numbers.com/movies/franchise/Lara-Croft#tab=summary
Speed,Speed,https://www.the-numbers.com/movies/franchise/Speed#tab=summary
Final Destination,Final-Destination,https://www.the-numbers.com/movies/franchise/Final-Destination#tab=summary
Scooby-Doo,Scooby-Doo,https://www.the-numbers.com/movies/franchise/Scooby-Doo#tab=summary
City Slickers,City-Slickers,https://www.the-numbers.com/movies/franchise/City-Slickers#tab=summary
Resident Evil,Resident-Evil,https://www.the-numbers.com/movies/franchise/Resident-Evil#tab=summary
Poltergeist,Poltergeist,https://www.the-numbers.com/movies/franchise/Poltergeist#tab=summary
Creed,Creed,https://www.the-numbers.com/movies/franchise/Creed#tab=summary
Zootopia,Zootopia,https://www.the-numbers.com/movies/franchise/Zootopia#tab=summary
Airplane,Airplane,https://www.the-numbers.com/movies/franchise/Airplane#tab=summary
Father of the Bride,Father-of-the-Bride,https://www.the-numbers.com/movies/franchise/Father-of-the-Bride#tab=summary
Flintstones,Flintstones,https://www.the-numbers.com/movies/franchise/Flintstones#tab=summary
Insidious,Insidious,https://www.the-numbers.com/movies/franchise/Insidious#tab=summary
Happy Feet,Happy-Feet,https://www.the-numbers.com/movies/franchise/Happy-Feet#tab=summary
Stuart Little,Stuart-Little,https://www.the-numbers.com/movies/franchise/Stuart-Little#tab=summary
Odd Couple,Odd-Couple,https://www.the-numbers.com/movies/franchise/Odd-Couple#tab=summary
G I Joe,G-I-Joe,https://www.the-numbers.com/movies/franchise/G-I-Joe#tab=summary
Purge The,Purge-The,https://www.the-numbers.com/movies/franchise/Purge-The#tab=summary
Blade,Blade,https://www.the-numbers.com/movies/franchise/Blade#tab=summary
Big Mommas House,Big-Mommas-House,https://www.the-numbers.com/movies/franchise/Big-Mommas-House#tab=summary
Ring,Ring,https://www.the-numbers.com/movies/franchise/Ring#tab=summary
Ted,Ted,https://www.the-numbers.com/movies/franchise/Ted#tab=summary
Grown Ups,Grown-Ups,https://www.the-numbers.com/movies/franchise/Grown-Ups#tab=summary
I Am Legend,I-Am-Legend,https://www.the-numbers.com/movies/franchise/I-Am-Legend#tab=summary
Puss in Boots,Puss-in-Boots,https://www.the-numbers.com/movies/franchise/Puss-in-Boots#tab=summary
Terms of Endearment,Terms-of-Endearment,https://www.the-numbers.com/movies/franchise/Terms-of-Endearment#tab=summary
Cheaper by the Dozen,Cheaper-by-the-Dozen,https://www.the-numbers.com/movies/franchise/Cheaper-by-the-Dozen#tab=summary
Underworld,Underworld,https://www.the-numbers.com/movies/franchise/Underworld#tab=summary
Blair Witch Project,Blair-Witch-Project,https://www.the-numbers.com/movies/franchise/Blair-Witch-Project#tab=summary
Oh God,Oh-God,https://www.the-numbers.com/movies/franchise/Oh-God#tab=summary
Princess Diaries,Princess-Diaries,https://www.the-numbers.com/movies/franchise/Princess-Diaries#tab=summary
RoboCop,RoboCop,https://www.the-numbers.com/movies/franchise/RoboCop#tab=summary
Rio,Rio,https://www.the-numbers.com/movies/franchise/Rio#tab=summary
Benji,Benji,https://www.the-numbers.com/movies/franchise/Benji#tab=summary
xXx,xXx,https://www.the-numbers.com/movies/franchise/xXx#tab=summary
SpongeBob SquarePants,SpongeBob-SquarePants,https://www.the-numbers.com/movies/franchise/SpongeBob-SquarePants#tab=summary
Grumpy Old Men,Grumpy-Old-Men,https://www.the-numbers.com/movies/franchise/Grumpy-Old-Men#tab=summary
Sex and the City,Sex-and-the-City,https://www.the-numbers.com/movies/franchise/Sex-and-the-City#tab=summary
Mamma Mia,Mamma-Mia,https://www.the-numbers.com/movies/franchise/Mamma-Mia#tab=summary
Arthur,Arthur,https://www.the-numbers.com/movies/franchise/Arthur#tab=summary
Equalizer The,Equalizer-The,https://www.the-numbers.com/movies/franchise/Equalizer-The#tab=summary
Legally Blonde,Legally-Blonde,https://www.the-numbers.com/movies/franchise/Legally-Blonde#tab=summary
Mask,Mask,https://www.the-numbers.com/movies/franchise/Mask#tab=summary
Hancock,Hancock,https://www.the-numbers.com/movies/franchise/Hancock#tab=summary
Smurfs The,Smurfs-The,https://www.the-numbers.com/movies/franchise/Smurfs-The#tab=summary
Under Siege,Under-Siege,https://www.the-numbers.com/movies/franchise/Under-Siege#tab=summary
Cloudy with a Chance of Meatballs,Cloudy-with-a-Chance-of-Meatballs,https://www.the-numbers.com/movies/franchise/Cloudy-with-a-Chance-of-Meatballs#tab=summary
Clash of the Titans,Clash-of-the-Titans,https://www.the-numbers.com/movies/franchise/Clash-of-the-Titans#tab=summary
Coming to America,Coming-to-America,https://www.the-numbers.com/movies/franchise/Coming-to-America#tab=summary
Color Purple The,Color-Purple-The,https://www.the-numbers.com/movies/franchise/Color-Purple-The#tab=summary
Bad News Bears,Bad-News-Bears,https://www.the-numbers.com/movies/franchise/Bad-News-Bears#tab=summary
Tron,Tron,https://www.the-numbers.com/movies/franchise/Tron#tab=summary
French Connection,French-Connection,https://www.the-numbers.com/movies/franchise/French-Connection#tab=summary
Childs Play,Childs-Play,https://www.the-numbers.com/movies/franchise/Childs-Play#tab=summary
Expendables The,Expendables-The,https://www.the-numbers.com/movies/franchise/Expendables-The#tab=summary
Kingsman,Kingsman,https://www.the-numbers.com/movies/franchise/Kingsman#tab=summary
Elf,Elf,https://www.the-numbers.com/movies/franchise/Elf#tab=summary
Cannonball Run,Cannonball-Run,https://www.the-numbers.com/movies/franchise/Cannonball-Run#tab=summary
Annabelle,Annabelle,https://www.the-numbers.com/movies/franchise/Annabelle#tab=summary
Barbershop,Barbershop,https://www.the-numbers.com/movies/franchise/Barbershop#tab=summary
Step Up,Step-Up,https://www.the-numbers.com/movies/franchise/Step-Up#tab=summary
Easy Rider,Easy-Rider,https://www.the-numbers.com/movies/franchise/Easy-Rider#tab=summary
Basic Instinct,Basic-Instinct,https://www.the-numbers.com/movies/franchise/Basic-Instinct#tab=summary
Daddys Home,Daddys-Home,https://www.the-numbers.com/movies/franchise/Daddys-Home#tab=summary
Anchorman,Anchorman,https://www.the-numbers.com/movies/franchise/Anchorman#tab=summary
Croods The,Croods-The,https://www.the-numbers.com/movies/franchise/Croods-The#tab=summary
Shaft,Shaft,https://www.the-numbers.com/movies/franchise/Shaft#tab=summary
Maze Runner The,Maze-Runner-The,https://www.the-numbers.com/movies/franchise/Maze-Runner-The#tab=summary
Mighty Ducks,Mighty-Ducks,https://www.the-numbers.com/movies/franchise/Mighty-Ducks#tab=summary
