name,domestic_gross,num_movies,avg_gross
aketza lopez,17062499.0,1,17062499.0
akhilendra mishra,934951.0,1,934951.0
akhilesh harsh,9619500.0,1,9619500.0
akhmiss abdelmalek,95347692.0,1,95347692.0
aki aleong,60240295.0,2,30120147.5
akie kotabe,990866759.0,7,141552394.14285713
akie namiki,2659.0,1,2659.0
akiff premjee,184296230.0,1,184296230.0
akihide fujiyama,44942695.0,1,44942695.0
akihiko hirata,491389.0,1,491389.0
akihiko serikawa,18686.0,1,18686.0
akihiro miwa,2374107.0,1,2374107.0
akiko ashley,2381087.0,1,2381087.0
akiko awase,26594261.0,1,26594261.0
akiko hitomi,282144358.0,1,282144358.0
akiko monou,44585453.0,2,22292726.5
akiko takeshita,44585453.0,1,44585453.0
akil walker,66790248.0,1,66790248.0
akili prince,100012499.0,1,100012499.0
akim black,30659817.0,1,30659817.0
akim chir,40479370.0,1,40479370.0
akim tamiroff,17843729.0,4,4460932.25
akima castaneda,47323100.0,1,47323100.0
akimitsu naruyama,44585453.0,1,44585453.0
akin aksu,33326.0,1,33326.0
akin gazi,329786357.0,4,82446589.25
akin omotoso,25274671.0,3,8424890.333333334
akio mitamura,214055271.0,2,107027635.5
akira akbar,426829839.0,1,426829839.0
akira ishida,259028.0,2,129514.0
akira ito,74355829.0,2,37177914.5
akira koieyama,65310099.0,3,21770033.0
akira matsuda,34302837.0,1,34302837.0
akira motomura,44585453.0,1,44585453.0
akira nakao,3878.0,1,3878.0
akira takarada,201167458.0,2,100583729.0
akira takayama,75123210.0,2,37561605.0
akira terao,2132974.0,1,2132974.0
akira yamaguchi,44585453.0,1,44585453.0
akira yoshikawa,10166502.0,1,10166502.0
akiva schaffer,193935930.0,4,48483982.5
ako,43107979.0,1,43107979.0
akon,5782.0,1,5782.0
akosua busia,138591700.0,3,46197233.333333336
akosua sabet,25091816.0,1,25091816.0
akpe gift,62342368.0,1,62342368.0
aksel hennie,309594780.0,8,38699347.5
aksel m thanke,100713.0,1,100713.0
aksel morisse,5427684.0,1,5427684.0
akshara gowda,6108.0,1,6108.0
akshara haasan,324597.0,1,324597.0
akshay khanna,1595585.0,1,1595585.0
akshay kumar,14965255.0,17,880309.1176470588
akshay oberoi,528799.0,1,528799.0
akshaye khanna,1110769.0,2,555384.5
akuyoe graham,6517.0,1,6517.0
al abreu,129479.0,1,129479.0
al bandiero,180237.0,1,180237.0
al becker,800148.0,1,800148.0
al bollands,4535154.0,1,4535154.0
al brown,137692479.0,2,68846239.5
al camp,7000000.0,1,7000000.0
al carabello,47836282.0,1,47836282.0
al cardone,335451311.0,1,335451311.0
al cerullo,153638644.0,3,51212881.333333336
al chesney,62599495.0,1,62599495.0
al cides dias,13757804.0,1,13757804.0
al corley,22032635.0,1,22032635.0
al coronel,226277068.0,2,113138534.0
al cross,21403519.0,1,21403519.0
al dinneen,505675.0,1,505675.0
al eben,23978402.0,1,23978402.0
al elliott,322598.0,1,322598.0
al evans,7000000.0,1,7000000.0
al fann,39692139.0,1,39692139.0
al faris,188179174.0,2,94089587.0
al foster,125829105.0,2,62914552.5
al franken,65948711.0,1,65948711.0
al geddes,55991880.0,1,55991880.0
al goto,114641247.0,2,57320623.5
al goulem,38322743.0,1,38322743.0
al hachlaf,32698899.0,1,32698899.0
al hall,84525432.0,1,84525432.0
al hamacher,10205616.0,1,10205616.0
al harrington,330151138.0,1,330151138.0
al hassan ly,330181.0,1,330181.0
al israel,28607015.0,1,28607015.0
al kahn,138833359.0,2,69416679.5
al kaplon,114326736.0,1,114326736.0
al leong,90580000.0,2,45290000.0
al lewis,12953401.0,3,4317800.333333333
al linea,28563179.0,1,28563179.0
al madrigal,210667852.0,8,26333481.5
al maini,180902964.0,2,90451482.0
al manuel douglas,66207920.0,1,66207920.0
al matthews,166199268.0,3,55399756.0
al mitchell,103550993.0,4,25887748.25
al mukadam,3500605.0,1,3500605.0
al mustafa,60652036.0,2,30326018.0
al nazemian,26017685.0,1,26017685.0
