imdb_id,title,release_year,budget,production_companies,production_countries,spoken_languages
tt0108052,Schindler's List,1993,22000000,Amblin Entertainment,United States of America,"German, Polish, Hebrew, English"
tt0086190,Return of the Jedi,1983,32350000,Lucasfilm Ltd.,United States of America,English
tt6320628,Spider-Man: Far From Home,2019,160000000,"Marvel Studios, Pascal Pictures, Columbia Pictures",United States of America,"Czech, Dutch, English, German, Italian"
tt1074638,Skyfall,2012,200000000,"Metro-Goldwyn-Mayer, Eon Productions, Danjaq, Columbia Pictures","United Kingdom, United States of America",English
tt1454468,Gravity,2013,105000000,"Esperanto Filmoj, Warner Bros. Pictures, Heyday Films","United Kingdom, United States of America",English
tt1877832,X-Men: Days of Future Past,2014,250000000,"Bad Hat Harry Productions, The Donners' Company, Simon Kinberg Productions, 20th Century Fox",United States of America,"English, French, Russian, Vietnamese"
tt1677720,Ready Player One,2018,175000000,"Amblin Entertainment, De Line Pictures, Warner Bros. Pictures, Farah Films & Management, Village Roadshow Pictures, Access Entertainment",United States of America,English
tt0816711,World War Z,2013,200000000,"GK Films, Paramount, Hemisphere Media Capital, 2DUX², Apparatus Productions, Latina Pictures, Skydance, Plan B Entertainment","Malta, United Kingdom, United States of America",English
tt0264464,Catch Me If You Can,2002,52000000,"Parkes/MacDonald Productions, Kemp Company, Splendid Pictures",United States of America,"English, French"
tt3748528,Rogue One: A Star Wars Story,2016,200000000,Lucasfilm Ltd.,United States of America,English
tt2527336,Star Wars: The Last Jedi,2017,200000000,Lucasfilm Ltd.,United States of America,English
tt0770828,Man of Steel,2013,225000000,"DC Entertainment, Syncopy, Peters Entertainment, Warner Bros. Pictures","United Kingdom, United States of America",English
tt1323594,Despicable Me,2010,69000000,"Illumination, Universal Pictures",United States of America,English
tt0316654,Spider-Man 2,2004,200000000,"Marvel Enterprises, Laura Ziskin Productions, Columbia Pictures",United States of America,"English, Russian, Mandarin"
tt4633694,Spider-Man: Into the Spider-Verse,2018,90000000,"Columbia Pictures, Lord Miller, Pascal Pictures, Sony Pictures Animation, Arad Productions",United States of America,"English, Japanese, Spanish"
tt0367594,Charlie and the Chocolate Factory,2005,150000000,"The Zanuck Company, Theobald Film Productions, Plan B Entertainment","United Kingdom, United States of America",English
