Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
63,tt0296166,2019-02-26,2019-02-26,,"Real Women Have Curves","Real Women Have Curves",https://www.imdb.com/title/tt0296166/,Movie,6.9,90,2002,"Comedy, Drama",8460,2002-11-08,"Patricia Cardoso"
64,tt4595882,2019-02-26,2019-02-26,,"Can You Ever Forgive Me?","Can You Ever Forgive Me?",https://www.imdb.com/title/tt4595882/,Movie,7.1,106,2018,"Biography, Comedy, Crime, Drama",57199,2018-11-02,"Marielle Heller"
65,tt0067482,2019-02-26,2019-02-26,,"A New Leaf","A New Leaf",https://www.imdb.com/title/tt0067482/,Movie,7.3,102,1971,"Comedy, Romance",7982,1971-07-19,"Elaine May"
66,tt0210075,2019-02-26,2019-02-26,,"Girlfight","Girlfight",https://www.imdb.com/title/tt0210075/,Movie,6.7,110,2000,"Drama, Sport",11615,2000-10-06,"Karyn Kusama"
67,tt0300214,2019-02-26,2019-02-26,,"Morvern Callar","Morvern Callar",https://www.imdb.com/title/tt0300214/,Movie,6.8,97,2002,"Drama",11386,2002-11-01,"Lynne Ramsay"
68,tt5375040,2019-02-26,2019-02-26,,"Cameraperson","Cameraperson",https://www.imdb.com/title/tt5375040/,Movie,7.4,102,2016,"Documentary, Biography, History, News, War",3391,2017-01-27,"Kirsten Johnson"
69,tt0062144,2019-02-26,2019-02-26,,"Portrait of Jason","Portrait of Jason",https://www.imdb.com/title/tt0062144/,Movie,7.0,105,1967,"Documentary, Biography",1526,1967-09-29,"Shirley Clarke"
70,tt1233334,2019-02-26,2019-02-26,,"Pariah","Pariah",https://www.imdb.com/title/tt1233334/,Movie,7.2,86,2011,"Drama",7717,2012-10-31,"Dee Rees"
71,tt1152850,2019-02-26,2019-02-26,,"Wendy and Lucy","Wendy and Lucy",https://www.imdb.com/title/tt1152850/,Movie,7.1,80,2008,"Drama",20164,2009-03-06,"Kelly Reichardt"
72,tt0107756,2019-02-26,2019-02-26,,"Orlando","Orlando",https://www.imdb.com/title/tt0107756/,Movie,7.1,94,1992,"Biography, Drama, Fantasy, Romance",19451,1993-06-09,"Sally Potter"
73,tt0199725,2019-02-26,2019-02-26,,"Love & Basketball","Love & Basketball",https://www.imdb.com/title/tt0199725/,Movie,7.2,124,2000,"Drama, Romance, Sport",25091,2000-04-21,"Gina Prince-Bythewood"
74,tt0139362,2019-02-26,2019-02-26,,"High Art","High Art",https://www.imdb.com/title/tt0139362/,Movie,6.6,101,1998,"Drama, Romance",11260,1998-06-12,"Lisa Cholodenko"
75,tt0328538,2019-02-26,2019-02-26,,"Thirteen","Thirteen",https://www.imdb.com/title/tt0328538/,Movie,6.8,100,2003,"Drama",101569,2003-09-19,"Catherine Hardwicke"
76,tt0112379,2019-02-26,2019-02-26,,"Antonia's Line","Antonia",https://www.imdb.com/title/tt0112379/,Movie,7.4,102,1995,"Comedy, Drama",9623,1996-02-02,"Marleen Gorris"
77,tt2390361,2019-02-26,2019-02-26,,"Enough Said","Enough Said",https://www.imdb.com/title/tt2390361/,Movie,7.0,93,2013,"Comedy, Drama, Romance",67495,2013-10-11,"Nicole Holofcener"
78,tt0054763,2019-02-26,2019-02-26,,"The Connection","The Connection",https://www.imdb.com/title/tt0054763/,Movie,7.0,110,1961,"Drama",1078,1996-12-11,"Shirley Clarke"
79,tt0171804,2019-02-26,2019-02-26,,"Boys Don't Cry","Boys Don't Cry",https://www.imdb.com/title/tt0171804/,Movie,7.5,118,1999,"Biography, Crime, Drama, Romance",105311,2000-03-31,"Kimberly Peirce"
80,tt0077613,2019-02-26,2019-02-26,,"Girlfriends","Girlfriends",https://www.imdb.com/title/tt0077613/,Movie,7.2,88,1978,"Comedy, Drama",3254,1978-10-04,"Claudia Weill"
81,tt0457655,2019-02-26,2019-02-26,,"After the Wedding","Efter brylluppet",https://www.imdb.com/title/tt0457655/,Movie,7.7,120,2006,"Drama",37994,2007-05-11,"Susanne Bier"
82,tt3077108,2019-02-26,2019-02-26,,"Appropriate Behavior","Appropriate Behavior",https://www.imdb.com/title/tt3077108/,Movie,6.5,86,2014,"Comedy, Drama, Romance",4847,2015-01-16,"Desiree Akhavan"
83,tt0094921,2019-02-26,2019-02-26,,"Crossing Delancey","Crossing Delancey",https://www.imdb.com/title/tt0094921/,Movie,6.9,97,1988,"Comedy, Romance",5193,1988-09-16,"Joan Micklin Silver"
84,tt0075915,2019-02-26,2019-02-26,,"One Way or Another","De cierta manera",https://www.imdb.com/title/tt0075915/,Movie,7.0,78,1975,"Drama, Romance",696,1978-05,"Sara Gómez"
85,tt0337741,2019-02-26,2019-02-26,,"Something's Gotta Give","Something's Gotta Give",https://www.imdb.com/title/tt0337741/,Movie,6.7,128,2003,"Comedy, Drama, Romance",131716,2003-12-12,"Nancy Meyers"
86,tt0104321,2019-02-26,2019-02-26,,"Gas Food Lodging","Gas Food Lodging",https://www.imdb.com/title/tt0104321/,Movie,6.6,101,1992,"Drama, Romance",4532,1992-07-10,"Allison Anders"
87,tt6920356,2019-02-26,2019-02-26,,"The Souvenir","The Souvenir",https://www.imdb.com/title/tt6920356/,Movie,6.4,120,2019,"Drama, Romance",14940,2019-06-07,"Joanna Hogg"
88,tt0107305,2019-02-26,2019-02-26,,"Kanehsatake: 270 Years of Resistance","Kanehsatake: 270 Years of Resistance",https://www.imdb.com/title/tt0107305/,Movie,7.9,119,1993,"Documentary",509,1993,"Alanis Obomsawin"
89,tt0093605,2019-02-26,2019-02-26,,"Near Dark","Near Dark",https://www.imdb.com/title/tt0093605/,Movie,6.9,94,1987,"Horror",46703,1988-01-08,"Kathryn Bigelow"
90,tt1100048,2019-02-26,2019-02-26,,"35 Shots of Rum","35 rhums",https://www.imdb.com/title/tt1100048/,Movie,7.1,100,2008,"Drama",5402,2009-02-18,"Claire Denis"
91,tt0042824,2019-02-26,2019-02-26,,"Outrage","Outrage",https://www.imdb.com/title/tt0042824/,Movie,6.7,75,1950,"Crime, Drama, Film-Noir",1921,1950-12-13,"Ida Lupino"
92,tt0107693,2019-02-26,2019-02-26,,"Nitrate Kisses","Nitrate Kisses",https://www.imdb.com/title/tt0107693/,Movie,7.1,67,1992,"Documentary",186,1993-07-09,"Barbara Hammer"
93,tt3901826,2019-02-26,2019-02-26,,"The Breadwinner","The Breadwinner",https://www.imdb.com/title/tt3901826/,Movie,7.7,94,2017,"Animation, Drama, Family, War",29085,2017-11-17,"Nora Twomey"
94,tt0265343,2019-02-26,2019-02-26,,"Monsoon Wedding","Monsoon Wedding",https://www.imdb.com/title/tt0265343/,Movie,7.3,114,2001,"Comedy, Drama, Romance",27043,2002-04-26,"Mira Nair"
95,tt0102753,2019-02-26,2019-02-26,,"Rambling Rose","Rambling Rose",https://www.imdb.com/title/tt0102753/,Movie,6.5,112,1991,"Drama",5652,1991-09-20,"Martha Coolidge"
96,tt0108071,2019-02-26,2019-02-26,,"The Secret Garden","The Secret Garden",https://www.imdb.com/title/tt0108071/,Movie,7.3,101,1993,"Drama, Family, Fantasy",45983,1993-08-13,"Agnieszka Holland"
97,tt5873216,2019-02-26,2019-02-26,,"They","They",https://www.imdb.com/title/tt5873216/,Movie,4.8,80,2017,"Drama",621,2018-05-15,"Anahita Ghazvinizadeh"
98,tt6213284,2019-02-26,2019-02-26,,"I Am Not a Witch","I Am Not a Witch",https://www.imdb.com/title/tt6213284/,Movie,6.9,93,2017,"Comedy, Drama",4432,2018-09-07,"Rungano Nyoni"
99,tt2294629,2019-02-26,2019-02-26,,"Frozen","Frozen",https://www.imdb.com/title/tt2294629/,Movie,7.4,102,2013,"Animation, Adventure, Comedy, Family, Fantasy, Musical",680288,2013-11-27,"Chris Buck, Jennifer Lee"
100,tt0144084,2019-02-26,2019-02-26,,"American Psycho","American Psycho",https://www.imdb.com/title/tt0144084/,Movie,7.6,102,2000,"Crime, Drama, Horror",759216,2000-04-14,"Mary Harron"
