title,director,cast
Mucho Mucho Amor: The Legend of Walter Mercado,Cristina Constantini,['Walter Mercado']
All In: The Fight for Democracy,Lisa Cortes,['Stacey Abrams']
Dick Johnson Is Dead,Kirsten Johnson,['Dick Johnson']
Relic,Natalie Erika James,"['Emily Mortimer', 'Robyn Nevin', 'Bella Heathcote', 'Chris Bunton']"
One Night in Miami,Regina King,"['Kingsley Ben-Adir', 'Aldis Hodge', 'Leslie Odom Jr.', 'Eli Goree']"
Les Nôtres,Jeanne Leblanc,"['Émilie Bierre', 'Marianne Farley', 'Judith Baribeau', 'Paul Doucet']"
Beginning,Dea Kulumbegashvili,"['Ia Sukhitashvili', 'Rati Oneli', 'Kakha Kintsurashvili']"
Beans,Tracey Deer,"['Kiawentiio', 'Violah Beauvais', 'Rainbow Dickerson', 'Joel Montgrand']"
Truman & Tennessee: An Intimate Conversation,Lisa Immordino Vreeland,"['Jim Parsons', 'Zachary Quinto', 'Zachary Quinto', 'Jim Parsons']"
Holler,Nicole Riegel,"['Jessica Barden', 'Pamela Adlon', 'Gus Halper', 'Austin Amelio']"
My Octopus Teacher,Pippa Ehrlich,['Craig Foster']
True Mothers,Naomi Kawase,"['Arata Iura', 'Hiromi Nagasaku', 'Aju Makita', 'Reo Sato']"
Wildfire,Cathy Brady,"['Nika McGuigan', 'Nora Jane Noone', 'Martin McCann', 'Kate Dickie']"
Wildland,Jeanette Nordahl,"['Sandra Guldberg Kampp', 'Sidse Babett Knudsen', 'Joachim Fjelstrup', 'Elliott Crosset Hove']"
Lucky,Natasha Kermani,"['Brea Grant', 'Hunter C. Smith', 'Kristina Klebe', 'Kausar Mohammed']"
Never Gonna Snow Again,Małgorzata Szumowska,"['Alec Utgoff', 'Maja Ostaszewska', 'Agata Kulesza', 'Weronika Rosati']"
Jimmy Carter: Rock & Roll President,Mary Wharton,"['Jimmy Carter', 'Bob Dylan', 'Willie Nelson']"
Spring Blossom,Suzanne Lindon,"['Suzanne Lindon', 'Arnaud Valois', 'Frédéric Pierrot', 'Florence Viala']"
I Blame Society,Gillian Wallace Horvat,"['Gillian Wallace Horvat', 'Chase Williamson', 'Keith Poulson', 'Lucas Kavner']"
I Carry You With Me,Heidi Ewing,"['Armando Espitia', 'Christian Vazquez', 'Michelle Rodríguez', 'Ángeles Cruz']"
Slaxx,Elza Kephart,"['Romane Denis', 'Brett Donahue', 'Sehar Bhojani', 'Stephen Bogaert']"
Identifying Features,Fernanda Valadez,"['Mercedes Hernández', 'David Illescas', 'Juan Jesús Varela', 'Ana Laura Rodríguez']"
