rank,year,title,domestic_gross
337,2018,Rampage,"$101,028,233"
338,2003,The Matrix Revolutions,"$139,270,910"
339,2000,Cast Away,"$233,632,142"
340,2020,Bad Boys For Life,"$204,417,855"
341,1990,Dances with Wolves,"$184,208,842"
342,2010,The Chronicles of Narnia: The Voyage …,"$104,386,950"
343,1999,The Mummy,"$157,138,535"
344,2008,The Chronicles of Narnia: Prince Caspian,"$141,621,490"
345,2013,The Wolverine,"$132,556,852"
346,2016,Jason Bourne,"$162,192,920"
347,2008,Sex and the City,"$152,647,258"
348,1988,Rain Man,"$172,825,435"
349,1989,Batman,"$251,188,924"
350,1992,The Bodyguard,"$122,006,740"
351,2013,Pacific Rim,"$101,802,906"
352,2017,The Mummy,"$80,101,125"
353,2017,Kingsman: The Golden Circle,"$100,234,838"
354,2002,Signs,"$227,969,295"
355,2003,X-Men 2,"$214,949,694"
356,2008,The Mummy: Tomb of the Dragon Emperor,"$102,491,776"
357,2022,Sonic the Hedgehog 2,"$190,872,904"
358,2015,Kingsman: The Secret Service,"$128,261,724"
359,2022,Fantastic Beasts: The Secrets of Dumb…,"$95,850,844"
360,2021,Sing 2,"$162,790,990"
361,2012,Prometheus,"$126,477,084"
362,2008,Twilight,"$192,769,854"
363,2009,Night at the Museum: Battle of the Sm…,"$177,243,721"
364,2016,Ice Age: Collision Course,"$64,063,008"
365,2019,Alita: Battle Angel,"$85,838,210"
366,2021,Eternals,"$164,870,264"
367,2012,Snow White and the Huntsman,"$155,136,755"
368,2022,Uncharted,"$148,648,820"
369,2024,Bad Boys: Ride or Die,"$193,573,217"
370,2010,Tron: Legacy,"$172,062,763"
371,2006,Mission: Impossible III,"$133,501,348"
372,2024,Kingdom of the Planet of the Apes,"$171,130,165"
373,2023,Meg 2: The Trench,"$82,633,033"
374,1978,Grease,"$188,620,000"
375,2018,Mamma Mia: Here We Go Again!,"$120,634,935"
376,2018,Solo: A Star Wars Story,"$213,767,512"
377,2022,Ji Su Shi Ke (这个杀手不太冷静),"$185,882"
378,2006,Superman Returns,"$200,120,000"
379,1939,Gone with the Wind,"$198,680,470"
380,1991,Robin Hood: Prince of Thieves,"$165,493,908"
381,2022,Black Adam,"$168,283,344"
382,2013,The Wolf of Wall Street,"$116,949,183"
383,1985,Back to the Future,"$215,612,287"
384,2024,Sonic the Hedgehog 3,"$207,311,800"
385,2009,Star Trek,"$257,730,019"
386,2002,Ice Age,"$176,387,405"
387,2015,Home,"$177,397,510"
388,2006,Happy Feet,"$198,000,317"
389,2016,Independence Day: Resurgence,"$103,144,286"
390,2001,Spirited Away (千と千尋の神隠し),"$10,049,886"
391,2023,Indiana Jones and the Dial of Destiny,"$174,480,468"
392,2008,Slumdog Millionaire,"$141,330,703"
393,2019,1917,"$159,227,644"
394,2017,Cars 3,"$152,901,115"
395,2019,Godzilla: King of the Monsters,"$110,500,138"
396,2007,Live Free or Die Hard,"$134,529,403"
397,2009,Monsters vs. Aliens,"$198,351,526"
398,2017,Fifty Shades Darker,"$114,434,010"
399,2021,Black Widow,"$183,651,655"
400,2012,Taken 2,"$139,854,287"
401,2019,Once Upon a Time…in Hollywood,"$142,502,728"
402,2012,Hotel Transylvania,"$148,313,048"
403,1998,Godzilla,"$136,314,294"
404,2013,G.I. Joe: Retaliation,"$122,523,060"
405,2002,My Big Fat Greek Wedding,"$241,438,208"
406,2009,X-Men Origins: Wolverine,"$179,883,157"
407,2018,Spider-Man: Into The Spider-Verse 3D,"$190,173,195"
408,2000,What Women Want,"$182,805,123"
409,2011,The Adventures of Tintin,"$77,591,831"
410,2018,Fifty Shades Freed,"$100,407,760"
411,2004,Shark Tale,"$161,412,000"
412,2011,Captain America: The First Avenger,"$176,654,505"
413,1998,There's Something About Mary,"$176,484,651"
414,2024,Twisters,"$267,762,265"
415,2023,Creation of the Gods I: Kindom of Sto…,"$1,706,355"
416,1981,Raiders of the Lost Ark,"$225,686,079"
417,2007,The Golden Compass,"$70,107,728"
418,2014,Gone Girl,"$167,767,189"
419,2015,Mad Max: Fury Road,"$153,636,354"
420,2014,Edge of Tomorrow,"$100,206,256"
421,2018,Xi Hong Shi Shou Fu,
422,2014,Penguins of Madagascar,"$83,350,911"
423,2005,Hitch,"$177,784,257"
424,1995,Die Hard: With a Vengeance,"$100,012,499"
425,2001,Jurassic Park III,"$181,166,115"
426,2009,Terminator Salvation,"$125,322,469"
427,1994,True Lies,"$146,282,411"
428,1995,Toy Story,"$192,523,233"
429,1999,Notting Hill,"$116,089,678"
430,2019,Shazam!,"$140,371,656"
431,1998,A Bug’s Life,"$162,798,565"
432,2004,Ocean’s Twelve,"$125,531,634"
433,2018,The Nun,"$117,450,119"
434,2007,Alvin and the Chipmunks,"$217,326,974"
435,2001,Planet of the Apes,"$180,011,740"
436,2013,The Hangover 3,"$112,200,072"
437,1999,The World is Not Enough,"$126,930,660"
438,2018,Zhuo yao ji 2,"$706,153"
439,2020,Tenet,"$58,504,105"
440,2009,Fast & Furious,"$155,064,265"
441,1992,Home Alone 2: Lost in New York,"$173,585,516"
442,2002,Minority Report,"$132,024,714"
443,1994,The Flintstones,"$130,531,208"
444,2018,Peter Rabbit,"$115,234,093"
445,2016,Your Name,"$5,000,181"
446,1986,Top Gun,"$180,470,489"
447,2005,Batman Begins,"$205,343,774"
448,1995,Goldeneye,"$106,429,941"
449,1999,American Beauty,"$130,058,047"
450,2000,Dinosaur,"$137,748,063"
451,2002,Catch Me if You Can,"$164,606,800"
452,2011,X-Men: First Class,"$146,408,305"
453,2014,Night at the Museum: Secret of the Tomb,"$113,746,621"
454,1993,The Fugitive,"$183,875,760"
455,2013,The Great Gatsby,"$144,840,419"
456,2019,Dumbo,"$114,766,307"
457,2014,Noah,"$101,200,044"
458,1992,Basic Instinct,"$117,727,224"
459,2016,The Angry Birds Movie,"$107,509,366"
460,2010,The Karate Kid,"$176,591,618"
461,2017,Murder on the Orient Express,"$102,826,543"
462,1994,The Mask,"$119,920,129"
463,1988,Who Framed Roger Rabbit?,"$154,112,492"
464,2012,Dr. Seuss’ The Lorax,"$214,151,550"
465,2024,Alien: Romulus,"$105,313,091"
466,2001,Hannibal,"$165,092,266"
467,2024,It Ends With Us,"$148,518,266"
468,1998,Deep Impact,"$140,464,664"
469,2011,Alvin and the Chipmunks: Chipwrecked,"$133,107,389"
470,2023,The Hunger Games: The Ballad of Songb…,"$166,350,594"
471,2016,The Legend of Tarzan,"$126,643,061"
472,2004,"I, Robot","$144,801,023"
473,2013,The Smurfs 2,"$71,017,784"
474,2014,The Maze Runner,"$102,427,862"
475,2000,How the Grinch Stole Christmas,"$262,425,630"
476,2001,Rush Hour 2,"$226,164,286"
477,1995,Pocahontas,"$141,579,773"
478,2018,Mary Poppins Returns,"$171,958,438"
479,2017,xXx: Return of Xander Cage,"$44,898,413"
480,2006,Over the Hedge,"$155,019,340"
481,2016,Trolls,"$153,856,089"
482,2013,Now You See Me,"$117,723,989"
483,2008,Wanted,"$134,508,551"
484,2015,Zhuo yao ji,"$32,766"
485,1977,Close Encounters of the Third Kind,"$169,100,479"
486,2007,Enchanted,"$127,706,877"
487,1997,Tomorrow Never Dies,"$125,304,276"
488,2024,Article 20 (第二十条),
489,1995,Batman Forever,"$184,031,112"
490,2010,Prince of Persia: Sands of Time,"$90,759,676"
491,1996,The Rock,"$134,069,511"
492,1995,Apollo 13,"$173,772,767"
493,2016,Star Trek Beyond,"$158,848,340"
494,2018,A Quiet Place,"$188,024,361"
495,2017,Never Say Die,
496,2016,The Great Wall,"$45,157,105"
497,2015,The Good Dinosaur,"$123,087,120"
498,2005,Fantastic Four,"$154,696,080"
499,1984,Indiana Jones and the Temple of Doom,"$179,880,271"
500,1989,Back to the Future Part II,"$118,450,002"
501,2014,22 Jump Street,"$191,719,337"
502,2004,National Treasure,"$173,005,002"
503,2010,Black Swan,"$106,954,678"
504,2014,300: Rise of an Empire,"$106,580,051"
505,2000,Meet the Parents,"$166,225,040"
506,2008,The Curious Case of Benjamin Button,"$127,509,326"
507,1995,Se7en,"$100,908,157"
508,2000,The Perfect Storm,"$182,618,434"
509,2016,Now You See Me 2,"$65,075,540"
510,1986,Crocodile Dundee,"$174,803,506"
511,2008,Bolt,"$114,053,579"
512,2015,Taken 3,"$89,256,424"
513,2019,John Wick: Chapter 3 — Parabellum,"$171,016,727"
514,2006,The Devil Wears Prada,"$124,740,460"
515,1996,The Hunchback of Notre Dame,"$100,138,851"
516,2024,The Wild Robot,"$143,264,035"
517,2021,Free Guy,"$121,626,598"
518,2010,Robin Hood,"$105,487,148"
519,1993,Schindler’s List,"$96,898,818"
520,2010,Megamind,"$148,415,853"
521,1987,Fatal Attraction,"$156,645,693"
