tconst,title,release_year,genres,adjusted_budget,adjusted_domestic_gross,director_ids,director_names,production_companies,production_countries,spoken_languages
tt0280380,trapped,2002,"Action,Crime,Drama",52429127.29294052,12088180.17565314,nm0001502,luis mandoki,"Senator Film, Propaganda Films, Columbia Pictures","Germany, United States of America",English
tt0130121,mickey blue eyes,1999,"Comedy,Crime,Romance",141536614.64585835,63907257.65186074,"nm0538614,nm0331956","kelly makin,carl gottlieb","Castle Rock Entertainment, Warner Bros. Pictures, Simian Films, PolyGram Filmed Entertainment","United Kingdom, United States of America",English
tt3216348,incarnate,2016,"Horror,Thriller",6549999.999999999,6287703.94,nm0679031,brad peyton,"WWE Studios, Blumhouse Productions, IM Global",United States of America,English
tt0109456,color of night,1994,"Drama,Mystery,Romance",84858299.59514171,41899782.51012146,nm0750701,richard rush,"Cinergi Pictures Entertainment, Hollywood Pictures",United States of America,English
tt0131857,baseketball,1998,"Comedy,Sport",48220858.89570552,13583895.033128832,nm0001878,david zucker,"Universal Pictures, Zucker Brothers Productions",United States of America,English
tt0113870,murder in the first,1995,"Drama,Thriller",41259842.51968504,35690254.77165354,nm0733692,marc rocco,"The Wolper Organization, Warner Bros. Pictures","France, United States of America",English
tt0094812,bull durham,1988,"Comedy,Romance,Sport",18603550.295857985,135244432.77768382,nm0005421,ron shelton,"The Mount Company, Metro-Goldwyn-Mayer, Orion Pictures",United States of America,English
tt0264150,view from the top,2003,"Comedy,Romance",51260869.56521739,26679573.91304348,nm0000853,bruno barreto,Miramax,United States of America,English
tt0119668,midnight in the garden of good and evil,1997,"Crime,Drama,Mystery",68560747.6635514,49126590.60934579,nm0000142,clint eastwood,"Warner Bros. Pictures, Malpaso Productions, Silver Pictures",United States of America,English
tt0383010,the three stooges,2012,"Comedy,Family",41080139.37282229,60714014.04878048,"nm0125803,nm0268380","bobby farrelly,peter farrelly","Wessler Entertainment, 20th Century Fox, Conundrum Entertainment, C3 Entertainment, Inc., Dune Entertainment",United States of America,English
tt0329691,torque,2004,"Action,Comedy,Crime",66574907.35839068,35245291.883536264,nm0994538,joseph kahn,"Original Film, Village Roadshow Pictures, Warner Bros. Pictures","Australia, United States of America",English
tt0089489,lifeforce,1985,"Action,Horror,Mystery",73048327.13754646,33904782.044609666,nm0001361,tobe hooper,"Golan-Globus Productions, Easedram, London-Cannon Films, Cannon Group, TriStar Pictures",United Kingdom,English
tt7334528,uncle drew,2018,"Comedy,Drama,Sport",23789725.209080048,53176228.68339307,nm0831690,charles stone iii,"Lionsgate, Summit Entertainment",United States of America,English
tt0103859,boomerang,1992,"Comedy,Drama,Romance",89636493.22879542,156981385.55666426,nm0399737,reginald hudlin,Paramount,United States of America,"French, English"
tt0106912,fire in the sky,1993,"Biography,Drama,Fantasy",32636678.200692043,42915782.76539792,nm0509409,robert lieberman,Paramount,United States of America,English
tt0082089,body heat,1981,"Crime,Drama,Romance",31128712.871287126,83210508.25082508,nm0001410,lawrence kasdan,The Ladd Company,United States of America,English
tt0093560,the monster squad,1987,"Action,Comedy,Fantasy",33211267.605633803,10433845.563380282,nm0215269,fred dekker,"TriStar Pictures, Keith Barish Productions, TAFT Entertainment Pictures, HBO",United States of America,"German, English, Portuguese"
tt0241760,the new guy,2002,Comedy,22719288.49360756,50632882.67259588,nm0214036,ed decter,"Bedlam Pictures, Revolution Studios, Frontier Pictures",United States of America,"English, Spanish"
tt0104850,memoirs of an invisible man,1992,"Comedy,Romance,Sci-Fi",89636493.22879542,32175093.19458303,nm0000118,john carpenter,"Cornelius Productions, Regency Enterprises, Alcor Films, Warner Bros. Pictures, Canal+","France, United States of America",English
tt3068194,love friendship,2016,"Comedy,Drama,Romance",3929999.9999999995,18361704.08,nm0001775,whit stillman,"Amazon Studios, Blinder Films, Chic Films, Westerly Films, Revolver Amsterdam","United Kingdom, United States of America, Ireland, Netherlands, France",English
tt0085244,the big chill,1983,"Comedy,Drama",25253012.048192773,177015726.04819277,nm0001410,lawrence kasdan,Columbia Pictures,United States of America,English
tt0108065,searching for bobby fischer,1993,"Biography,Drama,Sport",26109342.560553633,15810062.001384083,nm0001873,steven zaillian,"Mirage Enterprises, Scott Rudin Productions, Paramount",United States of America,English
tt0065134,two mules for sister sara,1970,"Adventure,Drama,Romance",20257731.958762884,40920618.55670103,nm0796923,don siegel,"Sanen Productions, Malpaso Productions, Universal Pictures, Martin Rackin Productions","Mexico, United States of America","English, Spanish, Italian, Latin, French"
tt7599146,sound of freedom,2023,"Biography,Crime,Drama",15477518.871020677,190041278.8395143,nm1920049,alejandro monteverde,Santa Fe Films,United States of America,"English, Spanish"
tt0208988,get carter,2000,"Action,Crime,Drama",116119860.6271777,27326841.003484324,nm0443181,stephen kay,"Morgan Creek, The Canton Company, Franchise Pictures, Warner Bros. Pictures, Epsilon Motion Pictures",United States of America,English
tt4196450,the birth of a nation,2016,"Biography,Drama,History",11134999.999999998,20778651.46,nm1676649,nate parker,"Tiny Giant Entertainment, Bron Studios, Mandalay Pictures, Phantom Four",United States of America,English
tt0067093,fiddler on the roof,1971,"Drama,Family,Musical",69866666.66666666,624918518.5185184,nm0422484,norman jewison,"United Artists, Cartier Productions, The Mirisch Company",United States of America,"Hebrew, Russian, English"
tt1470023,macgruber,2010,"Action,Comedy",14415405.777166437,12289998.349381017,nm1672246,jorma taccone,"Relativity Media, Michaels-Goldwyn, Rogue Pictures, Mandate International",United States of America,"English, Russian, Spanish"
