release_date,title,production_budget,domestic_gross
"Jul 1, 2003",Terminator 3: Rise of the M…,"$170,000,000","$150,358,296"
"Jul 2, 1991",Terminator 2: Judgment Day,"$100,000,000","$203,464,105"
"Oct 26, 1984",The Terminator,"$6,400,000","$38,019,031"
"Jun 17, 2016",Finding Dory,"$200,000,000","$486,295,561"
"May 30, 2003",Finding Nemo,"$94,000,000","$380,529,370"
"Nov 25, 2022",The Guardians of the Galaxy…,,
"Jul 3, 2024",Beverly Hills Cop: Axel F,"$150,000,000",
"May 25, 1994",Beverly Hills Cop III,"$50,000,000","$42,586,861"
"May 20, 1987",Beverly Hills Cop II,"$20,000,000","$153,665,036"
"Dec 5, 1984",Beverly Hills Cop,"$15,000,000","$234,760,478"
"Nov 12, 2021",Home Sweet Home Alone,,
"Oct 29, 2013",Home Alone: The Holiday Heist,,
"Sep 2, 2003",Home Alone 4,,
"Dec 12, 1997",Home Alone III,,"$30,692,437"
"Nov 20, 1992",Home Alone 2: Lost in New York,"$20,000,000","$173,585,516"
"Nov 16, 1990",Home Alone,"$15,000,000","$285,761,243"
"Jul 10, 1998",Lethal Weapon 4,"$140,000,000","$130,444,603"
"May 15, 1992",Lethal Weapon 3,"$35,000,000","$144,731,527"
"Jul 7, 1989",Lethal Weapon 2,,"$147,253,986"
"Mar 6, 1987",Lethal Weapon,"$15,000,000","$65,192,350"
"May 27, 2022",Top Gun: Maverick,"$177,000,000","$718,732,821"
"May 16, 1986",Top Gun,"$15,000,000","$180,470,489"
"Jul 29, 2016",Jason Bourne,"$120,000,000","$162,192,920"
"Aug 10, 2012",The Bourne Legacy,"$125,000,000","$113,203,870"
"Aug 3, 2007",The Bourne Ultimatum,"$130,000,000","$227,471,070"
"Jul 23, 2004",The Bourne Supremacy,"$85,000,000","$176,087,450"
"Jun 14, 2002",The Bourne Identity,"$60,000,000","$121,468,960"
"Jan 28, 2022",The Ice Age Adventures Of B…,,
"Jul 22, 2016",Ice Age: Collision Course,"$105,000,000","$64,063,008"
"Mar 21, 2016",Ice Age: The Great Egg-Scapade,,
"Jul 13, 2012",Ice Age: Continental Drift,"$95,000,000","$161,321,843"
"Nov 26, 2011",Ice Age: A Mammoth Christma…,,
"Jul 1, 2009",Ice Age: Dawn of the Dinosaurs,"$90,000,000","$196,573,705"
"Mar 31, 2006",Ice Age: The Meltdown,"$75,000,000","$195,330,621"
"Mar 15, 2002",Ice Age,"$65,000,000","$176,387,405"
"Oct 9, 2026",Teenage Mutant Ninja Turtles 2,,
"Aug 2, 2023",Teenage Mutant Ninja Turtle…,"$70,000,000","$118,700,272"
"Aug 8, 2014",Teenage Mutant Ninja Turtles,"$125,000,000","$191,204,754"
"Mar 23, 2007",TMNT,"$35,000,000","$54,149,098"
"Dec 7, 1945",The Bells of St. Mary's,,"$21,300,000"
